"id","name","color","PumpId"
"1","Baileys","#E4C7A3",""
"2","Cola","#000000",""
"3","Cranberry juice","#9d0000",""
"4","Grenadine","#f12736",""
"5","Jagermeister","#140A00",""
"6","Kahlua","#beaf7c",""
"7","Midori","#00FF00",""
"8","Milk","#ffffff",""
"9","Orange juice","#FFCC00",""
"10","Peachtree","#fff8f0",""
"11","Pineapple juice","#f2d60d",""
"12","Sambuca","#ffffec",""
"13","Sweet & Sour mix","#ffff46",""
"14","Tequila","#f4f4ff",""
"15","Vodka","#CCFFFF",""
"16","Gin","#d7ffff",""
"17","Blue Curacao","#090fff",""
"18","Tonic","#f5f5f5",""
