"id","amount","order","startdelay","RecipeId","IngredientId"
"1","1","0","0","1","15"
"2","1","0","0","1","5"
"3","1","0","0","1","7"
"4","2","0","0","1","2"
"5","2","0","0","1","13"
"6","8","1","0","2","10"
"7","5","2","500","2","1"
"8","1","3","1500","2","4"
"9","1","0","0","3","15"
"10","4","0","0","3","9"
"11","4","0","0","4","15"
"12","2","0","0","4","10"
"13","4","0","0","4","9"
"14","4","0","0","4","3"
"15","2","0","0","5","7"
"16","4","0","0","5","9"
"17","1","0","0","6","15"
"18","3","0","0","6","9"
"19","1","0","0","6","6"
"20","1","0","0","7","7"
"21","1","0","0","7","15"
"22","1","0","0","7","13"
"23","2","0","0","8","14"
"24","5","0","0","8","11"
"25","2","0","0","9","7"
"26","6","0","0","9","3"
"27","2","0","0","10","3"
"28","1","0","0","10","10"
"29","5","0","0","11","7"
"30","5","0","0","11","9"
"31","1","1","0","11","4"
"32","5","0","0","12","3"
"33","0.5","1","0","12","4"
"34","2","0","0","12","16"
"35","1","0","0","13","7"
"36","6","0","0","13","9"
"37","1","0","0","13","16"
"38","1","0","0","14","7"
"39","4","0","0","14","9"
"40","2","0","0","14","10"
"41","4","0","0","15","9"
"42","1.5","0","0","15","10"
"43","4","0","0","16","3"
"44","1.5","0","0","16","10"
"45","1","0","0","17","7"
"46","2","0","0","17","16"
"47","1","0","0","18","17"
"48","1","0","0","18","10"
"49","3","0","0","18","16"
"50","4","0","0","18","18"
"51","2","0","0","19","16"
"52","3","0","0","19","18"
"53","3","0","0","20","9"
"54","2","0","0","20","17"
"55","1","0","0","21","4"
"56","2","0","0","21","17"
"57","5","0","0","22","9"
"58","2","0","0","22","10"
"59","0.5","1","0","22","4"
