"id","name","maxsize","image","notes","missingIngredients"
"1","Sure føtter","3","surefotter.jpg","",""
"2","Monkey brain","1","brain.jpg","",""
"3","Screwdriver","3","screwdriver.jpg","",""
"4","Sex on the Beach","3","sexonthebeach.jpg","",""
"5","Alligator","3","alligator.jpg","",""
"6","Screwdriver with Color","3","screwdriverwithcolor.jpg","",""
"7","Atomic Watermelon","3","atomicwatermelon.jpg","",""
"8","Matador","3","matador.jpg","",""
"9","Skinny Dipper","3","SkinnyDipper.jpg","",""
"10","Sailor's Delight","3","sailors-delight.jpg","",""
"11","Midori Sunrise","3","midoriSunrise.jpg","",""
"12","Ruby Tuesday","3","","",""
"13","Sun on a Beach","3","sun-of-a-beach.jpg","",""
"14","Tootsy Pop","3","","",""
"15","Fuzzy Navel","3","fuzzy_navel.jpg","",""
"16","Fuzzy Berry","3","fuzzy_berry.jpg","",""
"17","Martian Martini","3","martian-martini.jpg","",""
"18","Alp Top","3","alptopp.jpg","",""
"19","Gin and Tonic","3","gin-and-tonic.jpg","",""
"20","Green Widow","3","green_widow.jpg","",""
"21","Purple VW","1","Purple-VW.jpg","",""
"22","Fuzzy Navel Sunrise","3","fuzzy_navel_sun.jpg","",""
